Day;Sleep;Writing;Studying;Sport;Music;Hygiene;Languages;Reading;Socializing;Mood
15/11/2022;7,0;0,0;1,3;1,0;1,5;1,0;0,6;0,5;0,0;6
16/11/2022;7,5;0,0;4,1;1,0;0,5;1,0;0,5;0,6;0,0;7,5
17/11/2022;7,8;0,0;3,9;0,0;0,2;1,0;1,0;0,1;0,0;7
18/11/2022;7,7;0,0;0,0;0,0;1,7;1,0;0,3;0,7;6,0;7
19/11/2022;8,5;0,0;0,0;0,0;0,5;1,0;0,3;0,0;6,5;4
20/11/2022;9,0;0,0;0,3;1,0;1,7;1,0;0,7;0,4;0,0;8
21/11/2022;7,0;0,0;1,2;1,0;0,5;1,0;1,2;0,2;0,0;9
22/11/2022;7,0;0,0;0,5;0,0;0,0;1,0;1,0;0,0;0,0;7
23/11/2022;7,0;0,0;0,8;1,0;1,0;1,0;1,2;0,0;0,0;7
24/11/2022;8,5;0,0;0,0;1,0;1,7;1,0;0,6;0,0;4,0;7,5
25/11/2022;6,5;0,0;0,0;1,0;1,5;0,8;0,6;0,0;6,0;9
26/11/2022;7,0;0,0;1,0;0,0;1,0;0,8;1,0;0,0;10,0;8,5
27/11/2022;7,5;0,0;1,3;1,0;0,2;1,0;2,6;0,2;0,0;9
28/11/2022;7,8;0,0;0,0;1,0;1,5;1,0;2,0;0,0;0,0;9
29/11/2022;7,8;0,0;2,5;0,5;4,5;1,0;0,7;0,5;0,0;9
30/11/2022;7,5;0,0;0,0;1,0;1,0;1,0;1,4;0,1;0,0;8
1/12/2022;8,0;0,0;0,0;0,0;0,0;1,0;0,6;0,0;0,0;7
2/12/2022;7,8;0,0;1,0;1,0;0,3;1,0;1,0;0,0;0,0;7
3/12/2022;8,0;0,8;0,5;1,0;1,0;1,0;0,8;0,0;2,0;7,5
4/12/2022;8,5;0,0;1,0;1,0;0,0;1,0;0,5;0,0;1,3;8
5/12/2022;7,5;0,0;3,5;1,0;0,0;1,0;0,4;0,0;5,5;9
6/12/2022;8,0;0,0;2,5;0,0;0,0;1,0;0,3;0,0;8,0;8
7/12/2022;6,0;0,0;1,5;1,0;0,0;0,8;0,5;0,0;5,0;6,5
8/12/2022;6,0;0,0;0,0;0,0;0,0;0,8;0,3;0,0;12,0;8
9/12/2022;7,5;0,0;1,0;1,0;0,0;1,0;2,3;0,0;0,0;7,5
10/12/2022;8,0;0,0;2,2;1,0;0,0;1,0;3,9;0,0;0,0;8,5
11/12/2022;9,0;0,5;6,0;0,0;0,0;1,0;0,3;0,0;0,8;7
12/12/2022;6,0;0,0;2,8;1,0;0,0;1,0;0,3;0,0;0,0;8
13/12/2022;7,5;0,0;1,6;1,0;1,0;1,0;0,3;0,0;0,0;9
14/12/2022;7,5;0,0;1,0;1,0;0,5;1,0;1,7;0,0;0,0;8
15/12/2022;7,3;0,0;3,5;0,0;1,0;1,0;1,3;0,0;0,0;7,5
16/12/2022;7,0;0,0;1,5;1,0;2,0;1,0;0,7;0,0;0,0;7
